Parent Area,Area,Function,Connected To,X Coordinate,Y Coordinate,Z Coordinate,Num entry
,Spinal Cord,Conduit for nerve signals between the brain and the rest of the body; Brain Stem,,50,50,50,0
,Midbrain,"Contributes to auditory and visual processing; motor control", Brain Stem; Thalamus; Limbic System,10,10,10,0
,Neocortex,"The neocortex; a crucial brain region; orchestrates cognitive functions; motor skills; sensory processing; language; memory; and emotional regulation.",,20,-20,20,0
,Metencephalon, "Primarily responsible for the coordination of voluntary movements; balance; posture; motor learning; integration of sensory information; and plays a role in respiratory control.",Spinal Cord; Brain Stem,20,20,20,0
,Forebrain, "The forebrain is primarily responsible for higher cognitive functions; including sensory processing; emotional regulation; memory; and complex decision-making.", Midbrain; Brain Stem, 30,30,30,0
,Telencephalon, "The largest part of the brain; is primarily responsible for higher cognitive functions; including perception; voluntary motor control; language; and complex thought processes.",,40,40,40,0
,Brain Stem,"Vital autonomic functions such as breathing; heart rate; and blood pressure", Midbrain; Spinal Cord,-50,-50,-50,0
Neocortex,Frontal Lobe,"Executive functions; motor skills; reasoning; planning; problem-solving; emotions; and social skills", Thalamus; Basal Ganglia; Limbic System; Parietal Lobe,0,0,0,1
Neocortex,Parietal Lobe,"Sensation; perception; spatial awareness; and the integration of sensory input", Frontal Lobe; Occipital Lobe; Temporal Lobe,0,0,0,2
Neocortex,Temporal Lobe,"Auditory processing; language comprehension; memory; and emotion", Frontal Lobe; Parietal Lobe; Occipital Lobe; Limbic System,0,0,0,3
Neocortex,Occipital Lobe,"Visual processing and interpretation", Parietal Lobe; Temporal Lobe,0,0,0,4
Neocortex,Cingulate Cortex,"Emotional and cognitive processing; attention; and autonomic functions", Limbic System; Frontal Lobe; Parietal Lobe; Thalamus,0,0,0,5
Metencephalon,Cerebellum,"Coordination of voluntary movements; balance; and posture", Brain Stem; Spinal Cord; Thalamus,0,0,0,1
Forebrain,Thalamus,"Sensory relay station; relaying signals between different parts of the brain", Frontal Lobe; Occipital Lobe; Temporal Lobe; Parietal Lobe; Limbic System,0,0,0,1
Forebrain,Hypothalamus,"Regulates body temperature; hunger; thirst; and various aspects of the autonomic nervous system", Thalamus; Limbic System,0,0,0,2
Temporal Lobe,Amygdala,"Emotion processing; particularly fear and pleasure responses", Hippocampus; Thalamus; Frontal Lobe; Temporal Lobe; Limbic System,0,0,0,1
Temporal Lobe,Hippocampus,"Formation of new memories and spatial navigation", Amygdala; Thalamus; Limbic System,0,0,0,2
Temporal Lobe,Wernicke's Area,"Language comprehension", Broca's Area; Temporal Lobe,0,0,0,3
Temporal Lobe,Limbic System,"Regulation of emotions; memory; and arousal", Frontal Lobe; Temporal Lobe; Hypothalamus; Amygdala; Thalamus; Hippocampus,0,0,0,4
Telencephalon,Basal Ganglia,"Motor control; procedural learning; and routine behaviors", Thalamus; Brain Stem; Limbic System,0,0,0,1
Frontal lobe,Broca's Area,"Language production and speech", Wernicke's Area; Frontal Lobe; Limbic System,0,0,0,1
Frontal lobe,Primary Motor Cortex,"Initiating and controlling voluntary movements", Frontal Lobe; Parietal Lobe; Thalamus,0,0,0,2
Frontal Lobe,Prefrontal Cortex,"Higher cognitive functions; decision-making; personality expression; and moderating social behavior", Frontal Lobe; Parietal Lobe; Limbic System; Thalamus,0,0,0,3
Parietal Lobe,Primary Somatosensory Cortex,"Processes tactile sensory information; such as touch and pressure",Thalamus,0,0,0,1
